bom_stn_num,name,lat,long,state,location_types,forecast_site_classification,basin,agency,featreal,objectid
6034,Marron,-25.3656,114.3594,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8182
6038,Mia Mia,-23.3817,114.4375,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8183
6040,Minnie Creek,-24.0306,115.6967,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8184
6044,Denham,-25.9265,113.5325,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8185
6045,Tamala,-26.6969,113.7158,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8186
6050,Wandagee,-23.7647,114.5539,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8187
6052,Williambury,-23.8608,115.1475,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8188
6053,Winderie,-25.3021,115.1164,WA,"rain gauge;",data,Gascoyne River,Private owner,2024/10/10 00:00:00,8189
6055,Woolgorong,-27.7456,115.8286,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8190
6058,Yallalong,-27.4278,115.5147,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8191
6059,Yaringa Station,-25.9436,114.3222,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8192
6066,Winning,-23.1567,114.5403,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8193
6068,Wahroonga,-25.4906,114.3981,WA,"rain gauge;",data,Wooramel River,Private owner,2024/10/10 00:00:00,8194
6069,Mount Narryer,-26.5903,115.9267,WA,"rain gauge;",data,Murchison River,Private owner,2024/10/10 00:00:00,8195
6072,Emu Creek Station,-23.0314,115.0414,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8196
6084,Warroora,-23.4836,113.7926,WA,"rain gauge;",data,Lyndon-Minilya Rivers,Private owner,2024/10/10 00:00:00,8197
